#id zspec zflag zphotz ra dec mag_sel
9999999 -99.9 -99.9 -99.9 -99.9 -99.9 -99.9
803682 0.8773 3.5 0.943 150.598495 1.791945 22.42
823851 0.6126 3.5 0.686 150.315018 2.244324 22.39
808578 0.2078 4.5 0.237 149.457687 1.783078 21.55
801907 0.9983 3.5 1.003 149.885208 1.620918 22.44
819033 0.7607 4.5 0.711 149.999283 2.005957 21.66
818618 0.469 3.5 0.462 150.099686 2.075024 20.88
818959 0.8722 9.5 0.858 150.017838 2.049238 22.23
843999 0.5504 4.5 0.548 150.499527 2.677858 20.22
835000 0.5491 3.5 0.56 149.4599 2.305398 22.16
824980 0.7897 23.5 0.754 150.073532 2.157917 22.44
840828 0.6593 3.5 0.737 149.750931 2.469899 20.69
806891 0.5064 4.5 0.458 149.831146 1.648068 20.67
809373 0.6026 2.5 0.564 150.68277 1.859395 20.62
824743 0.827 4.5 0.849 150.121475 2.267303 21.35
807376 0.3226 4.5 0.306 149.7285 1.671049 21.04
816665 0.3307 3.5 0.326 150.472717 1.995454 21.1
825813 0.1745 4.5 0.2 149.911865 2.241956 20.71
801718 0.8564 2.5 0.91 149.982132 1.62157 22.09
819142 0.715 4.5 0.702 149.966812 2.076027 22.36
830924 0.2092 4.5 0.197 150.262222 2.437724 20.71
844691 0.5995 2.5 0.607 150.361954 2.64394 21.03
814434 0.7815 3.5 0.75 149.560822 1.912328 21.79
812396 0.5846 4.5 0.591 150.033966 1.904022 21.62
831871 0.6556 3.5 0.673 150.07869 2.443386 21.62
820151 0.6441 4.5 0.724 149.713882 2.019618 19.92
827892 0.5813 3.5 0.64 149.475174 2.252749 22.33
847277 0.5977 4.5 0.599 149.852737 2.789114 22.31
813717 0.5513 3.5 0.56 149.724365 1.824907 20.69
810181 0.8014 3.5 0.772 150.509003 1.824002 21.84
814900 0.5396 3.5 0.576 149.458359 1.904358 20.85
820472 0.6539 9.5 0.66 149.632111 2.05016 21.96
816461 0.259 2.5 0.255 150.508041 2.085927 22.33
825880 0.5173 3.5 0.484 149.899216 2.268294 21.63
825048 0.5189 4.5 0.548 150.05899 2.248145 21.9
832574 0.5803 2.5 0.583 149.948471 2.30769 21.6
844655 0.4197 4.5 0.462 150.369095 2.687352 22
844505 0.9377 3.5 0.9 150.399445 2.740532 22.45
831506 0.5618 3.5 0.552 150.143326 2.326744 22.13
832408 0.5979 3.1 0.062 149.983612 2.456751 22.47
838205 0.4554 3.5 0.433 150.234253 2.471425 22.4
827506 0.7225 3.5 0.686 149.574448 2.20974 22.16
827392 0.4561 2.5 0.36 149.599167 2.173992 22.49
819224 0.7162 2.5 0.754 149.948181 2.12559 22.48
825075 0.5622 4.5 0.548 150.05481 2.178261 21.78
831001 0.5412 4.5 0.541 150.248367 2.354734 22.02
803406 0.602 3.5 0.694 150.669174 1.753942 22.07
839632 0.8717 2.5 0.844 149.979202 2.498296 22.41
837752 0.9576 13.4 0.054 150.317871 2.602079 20.65
824431 0.8639 9.5 0.849 150.190857 2.235388 22.49
831208 0.447 3.5 0.44 150.206528 2.456752 22.5
848177 0.3162 3.5 0.255 149.635849 2.665736 21.23
812579 0.4654 3.5 0.477 149.991898 1.806295 22.28
825320 0.5386 1.5 0.636 150.010635 2.212643 22.27
824839 0.3019 3.5 0.31 150.099518 2.230919 22
826907 0.5517 3.5 0.615 149.695862 2.264505 20.56
801235 0.5535 4.5 0.51 150.190292 1.62391 20.37
805880 0.2136 3.5 0.218 150.066193 1.691201 20.45
823540 0.7409 3.5 0.707 150.379486 2.219606 22.2
809026 0.6213 1.5 0.69 150.772461 1.793994 22.37
807355 0.5163 4.5 0.51 149.733383 1.650009 20.99
807357 0.3971 4.5 0.405 149.733307 1.644872 21.53
804313 0.3748 2.5 0.387 150.411789 1.664048 21.87
