ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I,MAG_AUTO_U,MAGERR_AUTO_U,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z
020086348,VVDS-J022643.08-044915.6,36.6795128,-4.8210224,0.3970,3,22.9894,-99.9,-99.9,24.3757,0.0956,23.6235,0.0613,23.3154,0.0552,22.9894,0.0532,24.478138,0.023000,23.906081,0.010000,23.260890,0.010000,22.902366,0.010000,22.625703,0.013600
020086397,VVDS-J022545.30-044913.1,36.4387748,-4.8203333,1.1714,3,23.7798,-99.9,-99.9,25.5383,0.1743,25.0745,0.1297,25.2619,0.1916,23.7798,0.1057,25.468934,0.066500,25.072756,0.032800,24.537423,0.026500,23.895414,0.020600,23.104169,0.025800
020086400,VVDS-J022810.50-044912.9,37.0437708,-4.820269,0.9911,3,23.7313,-99.9,-99.9,24.9325,0.1392,24.715,0.1333,24.5805,0.1423,23.7313,0.0915,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020086471,VVDS-J022600.46-044914.5,36.5019289,-4.8207165,1.3455,3,23.892,-99.9,-99.9,24.0332,0.0535,23.9964,0.0494,23.9937,0.055,23.892,0.0787,24.072223,0.013500,23.917870,0.010000,23.933619,0.010500,23.897618,0.013900,23.563313,0.025200
020086495,VVDS-J022803.55-044913.2,37.014799,-4.8203501,0.8795,3,23.1321,-99.9,-99.9,25.1019,0.1528,24.3042,0.0935,24.1302,0.0957,23.1321,0.0528,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020086536,VVDS-J022648.76-044914.5,36.7031918,-4.8206962,0.8856,3,22.2341,-99.9,-99.9,23.7754,0.0686,23.2441,0.0521,23.0822,0.0502,22.2341,0.032,23.853609,0.014400,23.446543,0.010000,23.021258,0.010000,22.241964,0.010000,21.986755,0.010000
020086611,VVDS-J022553.59-044914.8,36.4732963,-4.8208041,0.8885,4,22.1627,-99.9,-99.9,23.34,0.0491,22.9611,0.0343,22.6578,0.0313,22.1627,0.034,23.454782,0.010000,23.068676,0.010000,22.780094,0.010000,22.179096,0.010000,22.008426,0.010000
020086740,VVDS-J022804.06-044913.1,37.0169169,-4.8203133,0.7763,4,22.3708,-99.9,-99.9,24.1645,0.0991,23.5202,0.0672,23.1467,0.0592,22.3708,0.0389,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020086792,VVDS-J022515.78-044910.2,36.3157674,-4.8195195,0.8387,3,23.9147,-99.9,-99.9,25.2964,0.1255,24.9385,0.1343,24.7509,0.143,23.9147,0.1216,25.190725,0.034600,24.945857,0.019900,24.737343,0.021700,24.122089,0.016800,23.761590,0.029800
020086957,VVDS-J022612.25-044912.1,36.5510477,-4.8200304,0.6876,3,21.9706,-99.9,-99.9,24.4601,0.1113,23.835,0.0787,23.2106,0.0574,21.9706,0.0271,24.449899,0.033800,23.971859,0.015200,23.175134,0.010000,22.217677,0.010000,21.491535,0.010000
020086976,VVDS-J022603.57-044913.9,36.5149016,-4.8205485,0.2036,3,22.1095,-99.9,-99.9,23.2802,0.0381,22.4527,0.0216,22.3338,0.0213,22.1095,0.025,23.693870,0.013400,22.717206,0.010000,22.309146,0.010000,22.122138,0.010000,22.001628,0.010000
020087031,VVDS-J022730.81-044909.4,36.8783882,-4.8192796,1.4207,3,22.8616,-99.9,-99.9,24.6251,0.119,24.2117,0.0937,23.6528,0.0733,22.8616,0.0522,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020087083,VVDS-J022619.50-044908.2,36.5812912,-4.8189565,0.8025,4,23.2466,-99.9,-99.9,24.6659,0.1161,24.1223,0.0845,23.8171,0.0772,23.2466,0.0608,24.590740,0.025300,24.307083,0.013000,23.908769,0.012000,23.225974,0.010000,22.930739,0.017000
020087197,VVDS-J022654.03-044909.5,36.7251573,-4.8193085,0.0000,4,20.5053,-99.9,-99.9,24.5782,0.104,22.9817,0.0436,22.1334,0.0261,20.5053,0.0103,25.805385,0.064800,23.570217,0.010000,22.334017,0.010000,20.754586,0.010000,20.141018,0.010000
020087292,VVDS-J022515.36-044908.8,36.3140141,-4.8191331,0.7282,4,22.5007,-99.9,-99.9,23.9403,0.0543,23.5163,0.05,23.0536,0.0416,22.5007,0.0403,23.984531,0.013100,23.613884,0.010000,23.146990,0.010000,22.558649,0.010000,22.346160,0.010000
020087557,VVDS-J022531.49-044906.6,36.3812295,-4.8185099,0.8774,4,21.7004,-99.9,-99.9,23.5606,0.0439,23.031,0.0371,22.6798,0.0328,21.7004,0.0229,23.777047,0.010900,23.243919,0.010000,22.745483,0.010000,21.884708,0.010000,21.479756,0.010000
020087604,VVDS-J022716.48-044911.6,36.8186957,-4.8198893,0.0000,4,18.7776,-99.9,-99.9,21.4842,0.021,20.1479,0.0096,19.5047,0.007,18.7776,0.0044,22.861994,0.010000,20.675471,0.010000,19.538065,0.010000,18.863866,0.010000,18.582830,0.010000
020087662,VVDS-J022659.07-044904.6,36.7461407,-4.8179547,1.1342,3,23.1398,-99.9,-99.9,23.5739,0.0584,23.413,0.0507,23.5085,0.0601,23.1398,0.0583,23.500780,0.010000,23.371914,0.010000,23.312793,0.010000,22.997136,0.010000,22.729055,0.014100
020087675,VVDS-J022614.58-044915.8,36.5607832,-4.8210656,0.3826,3,19.6847,-99.9,-99.9,21.1984,0.0203,20.3588,0.012,20.0328,0.0102,19.6847,0.0078,21.450282,0.010000,20.758576,0.010000,20.029294,0.010000,19.780796,0.010000,19.617126,0.010000
020087755,VVDS-J022637.59-044902.6,36.6566385,-4.817402,0.8019,4,23.3474,-99.9,-99.9,24.9909,0.1525,24.4654,0.1156,23.8342,0.0825,23.3474,0.0739,24.629604,0.023800,24.381754,0.012900,23.959090,0.011600,23.481453,0.010400,23.221050,0.020900
020087771,VVDS-J022639.61-044905.3,36.6650579,-4.8181477,1.1831,3,22.8383,-99.9,-99.9,23.7435,0.0679,23.5436,0.0628,23.2156,0.0561,22.8383,0.0534,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020087784,VVDS-J022734.48-044900.6,36.89368,-4.816853,0.0000,4,23.8513,-99.9,-99.9,25.9351,0.2607,25.4278,0.2017,24.9123,0.163,23.8513,0.0962,25.861877,0.078300,25.271012,0.031800,24.892149,0.029500,23.811796,0.015200,23.195728,0.020800
020087798,VVDS-J022724.69-044904.2,36.8528831,-4.8178359,0.2950,3,23.2015,-99.9,-99.9,24.744,0.1288,23.5685,0.059,23.407,0.0612,23.2015,0.0695,24.704418,0.029500,23.955181,0.010800,23.338251,0.010000,23.115807,0.010000,22.912408,0.018500
020087832,VVDS-J022604.55-044908.9,36.5189923,-4.819152,0.2444,4,21.0838,-99.9,-99.9,22.2523,0.0237,21.6701,0.0147,21.288,0.0123,21.0838,0.0151,22.417870,0.010000,21.892606,0.010000,21.281646,0.010000,21.086338,0.010000,21.060628,0.010000
020087885,VVDS-J022650.74-044903.3,36.7114475,-4.8176008,0.7017,3,22.5336,-99.9,-99.9,23.8602,0.0694,23.4779,0.0555,23.0201,0.045,22.5336,0.0524,24.044562,0.014200,23.690407,0.010000,23.161031,0.010000,22.537345,0.010000,22.348140,0.010000
020087922,VVDS-J022812.37-044903.5,37.0515554,-4.8176464,0.2423,4,22.7932,-99.9,-99.9,23.4699,0.0591,23.0724,0.045,23.0909,0.0497,22.7932,0.0452,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
020088045,VVDS-J022553.98-044904.0,36.4749515,-4.8177923,0.1803,4,21.5611,-99.9,-99.9,22.7694,0.0373,22.0492,0.0213,21.8759,0.0206,21.5611,0.0241,23.329023,0.010000,22.359485,0.010000,21.908375,0.010000,21.619656,0.010000,21.584272,0.010000
020088049,VVDS-J022729.76-044900.6,36.8740301,-4.8168596,0.3012,4,23.5206,-99.9,-99.9,25.4106,0.1768,24.3062,0.0859,24.0686,0.085,23.5206,0.0719,25.572865,0.054000,24.559787,0.015400,23.811167,0.010200,23.497751,0.010400,23.259306,0.020500
