ds_spectra.NUM,ds_spectra.ID_IAU,ds_spectra.ALPHA,ds_spectra.DELTA,ds_spectra.Z,ds_spectra.ZFLAGS,ds_spectra.MAGI,ds_cfh12k.MAG_AUTO_U,ds_cfh12k.MAGERR_AUTO_U,ds_cfh12k.MAG_AUTO_B,ds_cfh12k.MAGERR_AUTO_B,ds_cfh12k.MAG_AUTO_V,ds_cfh12k.MAGERR_AUTO_V,ds_cfh12k.MAG_AUTO_R,ds_cfh12k.MAGERR_AUTO_R,ds_cfh12k.MAG_AUTO_I,ds_cfh12k.MAGERR_AUTO_I
100017138,VVDS-J100640.81+010124.5,151.67005,1.0234887,0.0000,4,21.3171,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.3171,0.0197
100017640,VVDS-J100437.07+010128.5,151.154486,1.0245951,0.1782,4,21.3242,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.3242,0.0171
100017649,VVDS-J100253.82+010130.0,150.724279,1.0250047,0.4157,3,21.6607,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.6607,0.0371
100017688,VVDS-J100554.24+010130.3,151.476032,1.0250967,0.4533,3,22.2231,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.2231,0.0242
100017847,VVDS-J100308.62+010133.2,150.785956,1.0259124,1.2060,3,22.0329,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.0329,0.0377
100018026,VVDS-J100303.20+010129.9,150.763339,1.0249836,0.5267,4,20.668,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.668,0.0162
100018060,VVDS-J100600.63+010132.4,151.502663,1.025675,0.0000,4,21.1283,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.1283,0.0112
100018135,VVDS-J100733.60+010134.4,151.890007,1.026245,0.0000,3,21.0098,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.0098,0.0143
100018399,VVDS-J100346.25+010135.8,150.942739,1.0266176,0.3697,4,21.6055,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.6055,0.0336
100018555,VVDS-J100631.40+010133.3,151.63085,1.0259172,0.4683,3,20.0493,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.0493,0.0105
100018575,VVDS-J100348.90+010141.4,150.953758,1.0281868,0.0000,4,20.7924,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.7924,0.0147
100018607,VVDS-J100741.97+010135.7,151.92491,1.0266004,0.7572,3,20.6436,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.6436,0.0144
100018611,VVDS-J100442.44+010137.7,151.176849,1.0271579,0.5974,3,20.7934,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.7934,0.0145
100018619,VVDS-J100309.73+010142.9,150.790567,1.0285957,0.8474,4,22.3126,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.3126,0.0465
100018622,VVDS-J100645.70+010140.6,151.690444,1.0279695,0.1805,4,22.2172,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.2172,0.0353
100018698,VVDS-J100303.66+010141.8,150.765265,1.02829,0.3799,4,21.1782,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.1782,0.0205
100018830,VVDS-J100506.85+010140.7,151.278549,1.0279941,0.0000,4,19.6246,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,19.6246,0.006
100018958,VVDS-J100439.71+010141.8,151.165487,1.0282815,0.0000,3,19.2631,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,19.2631,0.005
100019001,VVDS-J100745.24+010137.7,151.938533,1.027151,0.6861,4,20.2535,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.2535,0.0122
100019052,VVDS-J100642.43+010146.9,151.676797,1.0297089,0.0000,4,21.355,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.355,0.0172
100019065,VVDS-J100541.71+010143.2,151.423813,1.0286716,0.4931,3,20.8592,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.8592,0.0111
100019117,VVDS-J100511.12+010147.3,151.296354,1.0298299,0.5888,3,22.4136,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.4136,0.0359
100019177,VVDS-J100503.14+010149.0,151.263095,1.0302941,0.0000,4,21.9128,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.9128,0.022
100019197,VVDS-J100644.27+010146.4,151.684463,1.0295749,0.0000,4,20.2472,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.2472,0.0092
100019244,VVDS-J100459.08+010144.5,151.246189,1.0290494,0.1000,3,20.2354,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.2354,0.0089
100019304,VVDS-J100456.24+010148.1,151.234349,1.0300293,0.0000,4,19.9773,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,19.9773,0.007
100019407,VVDS-J100639.43+010141.9,151.6643,1.0283141,0.0000,4,18.2009,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,18.2009,0.0031
100019417,VVDS-J100450.13+010149.5,151.20889,1.0304433,0.0000,3,20.9884,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.9884,0.0128
100019601,VVDS-J100715.01+010151.7,151.812566,1.0310511,0.6171,3,22.2845,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.2845,0.0365
100019722,VVDS-J100748.18+010143.6,151.950763,1.028786,0.4309,3,20.7827,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.7827,0.0183
100019819,VVDS-J100251.44+010157.6,150.714363,1.0326854,0.0000,4,21.9499,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.9499,0.0326
100019945,VVDS-J100310.52+010154.7,150.793837,1.0318776,0.6561,3,21.0325,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.0325,0.0195
100019997,VVDS-J100607.94+010153.2,151.533093,1.0314518,0.9275,3,21.4354,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.4354,0.0169
100019999,VVDS-J100739.94+010149.6,151.916453,1.0304675,0.4304,3,19.7673,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,19.7673,0.0079
100020021,VVDS-J100551.68+010156.7,151.465366,1.0324281,0.0000,4,20.9164,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.9164,0.0109
100020051,VVDS-J100335.77+010157.5,150.899044,1.0326661,0.4739,3,21.2017,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.2017,0.0237
100020103,VVDS-J100708.69+010152.6,151.786212,1.0312878,0.0000,4,19.6111,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,19.6111,0.0065
100020173,VVDS-J100629.98+010155.8,151.624926,1.0321679,0.4500,3,21.6193,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,21.6193,0.0248
100020238,VVDS-J100627.16+010157.6,151.613169,1.0326835,0.4510,3,21.137,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.137,0.0181
100020249,VVDS-J100537.13+010201.0,151.404738,1.0336384,0.0000,3,21.7547,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.7547,0.0172
100020398,VVDS-J100415.50+010201.6,151.064605,1.0337813,0.0000,3,20.6217,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.6217,0.0101
100020555,VVDS-J100536.59+010203.8,151.402497,1.0344131,0.0000,4,20.4093,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.4093,0.0077
100020637,VVDS-J100508.74+010203.1,151.286453,1.0342029,0.0000,4,20.2233,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.2233,0.0081
100020666,VVDS-J100305.35+010206.2,150.772326,1.0350608,0.0000,4,20.895,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.895,0.0154
100020744,VVDS-J100616.80+010204.0,151.570018,1.0344554,0.1790,3,22.1826,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,22.1826,0.0318
100020790,VVDS-J100525.99+010147.7,151.358323,1.0299207,0.3552,3,20.1655,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.1655,0.0079
100020851,VVDS-J100633.20+010204.2,151.638343,1.0345217,0.4698,3,20.9609,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,20.9609,0.0155
100020956,VVDS-J100629.25+010206.9,151.621898,1.0352659,0.4501,3,21.6024,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,21.6024,0.0229
100021023,VVDS-J100649.65+010204.1,151.706877,1.0344975,0.0000,4,19.2954,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,19.2954,0.0055
100021147,VVDS-J100350.36+010208.0,150.959865,1.035568,0.0000,4,18.9931,-99.9,-99.9,99.99,99.99,99.99,99.99,99.99,99.99,18.9931,0.006
100021197,VVDS-J100709.64+010212.4,151.790168,1.0367817,0.3658,4,22.1182,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,22.1182,0.046
