id_zcosmos,zpec,cc,alpha,delta,mag_sel,id_photzi25,fuv_photzi25,nuv_photzi25,u_photzi25,eu_photzi25,b_photzi25,eb_photzi25,v_photzi25,ev_photzi25,g_photzi25,eg_photzi25,r_photzi25,er_photzi25,i_photzi25,ei_photzi25,z_photzi25,ez_photzi25,j_photzi25,ej_photzi25,k_photzi25,ek_photzi25,ic_photzi25,efuv_photzi25,enuv_photzi25,eic_photzi25,flag_maskb_photzi25,flag_maskv_photzi25,flag_maski_photzi25,flag_maskz_photzi25,flag_maskd_photzi25
700137,0.8792,1.5,150.502792,1.877646,22.27,507130,-99,-99,26.831,0.246,25.51,0.11,24.646,0.06,25.461,0.119,23.798,0.036,-99.9,-99.9,21.829,0.017,21.338,0.012,20.477,0.012,22.562,-99,-99,0.105,0,0,0,0,0
700142,0.6966,3.1,150.395737,1.837453,21.96,512357,26.2706044397387,23.6606044397387,23.925,0.039,23.476,0.036,23.243,0.027,23.61,0.035,22.997,0.024,22.632,0.02,22.394,0.023,23.104,0.048,21.887,0.041,22.588,0.53,0.078,0.117,0,0,0,0,0
700178,0.9063,9.5,150.305008,1.876265,22.24,531803,-99,24.1376044397387,23.931,0.04,23.697,0.04,23.697,0.035,23.85,0.038,23.581,0.032,22.926,0.023,22.617,0.028,22.463,0.028,22.26,0.059,22.869,-99,0.118,0.147,0,0,0,0,0
700210,0.2831,1.5,150.21048,1.828116,22.14,564425,23.7916044397387,23.5966044397387,24.337,0.048,23.731,0.041,23.154,0.026,23.723,0.036,23.021,0.024,22.798,0.022,22.649,0.028,22.752,0.028,22.328,0.055,22.788,0.074,0.082,0.122,0,0,0,0,0
700219,0.6978,1.5,150.096649,1.866851,22.5,558892,-99,25.5066044397387,25.265,0.079,24.617,0.064,24.105,0.043,24.598,0.059,23.656,0.034,22.836,0.022,22.389,0.023,22.033,0.018,21.068,0.022,22.805,-99,0.341,0.107,0,0,0,0,0
700244,1.0863,1.5,150.002136,1.834582,21.8,587394,-99,-99,26.091,0.135,25.321,0.1,24.665,0.064,25.72,0.14,23.902,0.04,22.766,0.021,21.742,0.015,21.168,0.011,20.108,0.01,22.814,-99,-99,0.119,7,7,0,0,0
700257,0.0789,9.3,149.986618,1.885134,22.41,580308,24.2876044397387,24.2046044397387,24.01,0.04,23.228,0.032,23.047,0.025,23.377,0.03,22.974,0.024,22.786,0.022,22.639,0.028,22.842,0.033,22.504,0.069,22.75,0.126,0.129,0.125,0,0,0,0,0
700274,0.525,4.5,149.926743,1.869646,22.29,582859,-99,-99,24.426,0.052,23.916,0.045,23.57,0.034,23.956,0.041,23.092,0.026,22.763,0.022,22.548,0.028,22.857,0.034,22.111,0.053,22.787,-99,-99,0.134,3,5,6,6,0
700276,0.0,4.4,149.92659,1.936117,22.47,9999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700291,0.9383,2.5,149.890167,1.859292,22.46,608022,-99,-99,26.122,0.154,25.583,0.112,24.823,0.068,25.51,0.106,24.019,0.041,22.89,0.023,21.95,0.018,21.475,0.013,20.443,0.012,22.856,-99,-99,0.143,0,0,0,0,0
